Planning Area,Subzone,Population
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,70
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,70
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,70
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,60
Ang Mo Kio,Ang Mo Kio Town Centre,20
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,80
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,100
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,90
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,70
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,80
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,70
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,90
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,90
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,90
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,80
Ang Mo Kio,Ang Mo Kio Town Centre,30
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,90
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,90
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,80
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,90
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,80
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,50
Ang Mo Kio,Ang Mo Kio Town Centre,70
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,40
Ang Mo Kio,Ang Mo Kio Town Centre,60
